Participant,isOut,AGE,gender,BFI1,BFI2,BFI3,BFI4,BFI5,BFI6,BFI7,BFI8,BFI9,BFI10,BFI11,BFI12,BFI13,BFI14,BFI15,BFI16,BFI17,BFI18,BFI19,BFI20,BFI21,BFI22,BFI23,BFI24,BFI25,BFI26,BFI27,BFI28,BFI29,BFI30,BFI31,BFI32,BFI33,BFI34,BFI35,BFI36,BFI37,BFI38,BFI39,BFI40,BFI41,BFI42,BFI43,BFI44,EMPQ1,EMPQ2,EMPQ3,EMPQ4,EMPQ5,EMPQ6,EMPQ7,EMPQ8,EMPQ9,EMPQ10,EMPQ11,EMPQ12,EMPQ13,EMPQ14,EMPQ15,EMPQ16,EMPQ17,EMPQ18,EMPQ19,EMPQ20,EMPQ21,EMPQ22,EMPQ23,EMPQ24,EMPQ25,EMPQ26,EmpQ1_Rev,EmpQ6_Rev,EmpQ7_Rev,EmpQ9_Rev,EmpQ10_Rev,EmpQ15_Rev,EmpQ20_Rev,EmpQ22_Rev,EmpQ23_Rev,EmpQ24_Rev,EmpQ25_Rev,EMPQ_emotional,EMPQ_cognitive,EMPQ_IRI_motiv,filter_$
49,0,15.78630137,2,4,3,3,3,1,3,5,4,4,4,5,5,5,5,4,5,3,2,5,4,5,5,5,2,4,5,4,2,4,5,5,5,3,4,4,5,2,3,5,4,4,5,5,5,2,4,5,4,4,3,1,4,3,2,5,4,5,4,3,5,2,5,4,2,5,3,2,1,1,5,4,3,5,3,4,3,4,3,4,5,5,3.909090909,4.444444444,4.166666667,1
50,0,15.80273973,2,2,2,3,1,5,4,4,2,3,3,2,1,4,4,5,5,4,4,3,3,3,4,4,4,4,4,4,3,2,5,3,4,4,4,2,4,1,3,2,4,1,4,4,4,3,3,4,4,4,2,2,2,1,1,3,4,3,3,2,4,4,4,4,2,4,2,2,2,2,4,3,4,4,5,5,4,4,4,4,4,4,3.818181818,3.777777778,3.833333333,1
51,0,15.85753425,1,4,3,4,1,4,3,4,3,3,4,4,1,5,1,4,3,4,3,3,4,1,3,3,3,3,4,1,4,1,3,1,4,4,4,3,4,4,5,3,3,4,3,1,1,4,3,4,1,1,3,4,3,4,4,3,4,1,4,3,5,1,4,1,4,3,4,1,1,3,3,2,3,2,2,2,3,2,2,5,5,3,1.727272727,4.111111111,2.666666667,1
52,0,15.89315068,1,3,1,5,1,5,5,5,1,4,5,5,1,5,3,5,5,5,1,3,5,3,5,1,3,5,5,1,5,1,5,3,5,5,3,3,5,1,5,1,4,1,5,1,5,3,3,4,1,2,1,1,3,1,1,5,3,3,3,2,5,3,3,3,1,4,4,1,1,1,4,3,5,5,5,5,4,5,2,5,5,5,3.363636364,4.222222222,3.833333333,1
53,0,15.92054795,1,3,4,2,1,4,3,3,4,2,4,3,4,4,3,4,3,2,4,3,5,3,4,4,3,4,4,3,2,4,4,2,4,4,3,4,4,3,3,4,4,3,4,4,5,2,3,4,3,2,2,3,4,4,3,3,3,2,4,2,4,2,4,3,2,3,3,2,2,3,3,4,4,3,2,3,4,4,3,4,4,3,3,3.777777778,3,1
54,0,15.97260274,2,5,3,4,1,4,3,4,3,4,4,4,2,4,3,5,5,4,2,3,4,2,4,4,3,3,4,4,4,3,4,3,4,4,3,5,5,2,5,3,4,4,5,4,5,3,4,4,4,3,4,3,3,3,3,3,4,4,4,2,5,3,4,3,3,3,2,2,2,2,3,3,2,3,3,3,4,3,4,4,4,4,3.363636364,3.777777778,3.333333333,1
55,0,16.0109589,2,2,3,4,3,4,3,5,2,4,4,5,1,5,5,3,4,5,4,3,3,4,5,4,1,3,4,1,4,4,5,4,5,4,3,3,5,1,3,1,3,1,5,2,5,1,4,5,4,4,2,2,3,2,1,5,4,5,4,2,5,3,5,3,1,4,2,1,1,3,4,5,4,4,4,5,4,5,4,5,5,3,4.181818182,4.666666667,3.666666667,1
56,0,16.02739726,1,4,3,4,1,4,4,4,2,4,3,5,2,1,2,4,4,3,2,4,4,3,4,2,3,4,3,2,3,3,3,5,4,4,2,3,5,5,3,1,3,3,4,4,4,3,3,4,2,4,3,3,3,4,3,4,3,2,3,4,2,4,3,2,2,2,4,2,4,2,1,3,3,3,2,3,2,4,2,4,2,4,2.909090909,3.111111111,2.333333333,1
57,0,16.04109589,1,4,4,5,4,3,3,3,4,3,5,3,2,4,3,3,3,4,5,4,4,3,3,4,3,3,3,4,4,4,4,3,3,4,3,4,3,4,3,4,5,1,2,3,5,3,3,4,3,3,3,4,3,4,3,4,3,3,3,3,4,3,4,3,3,4,4,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,2.909090909,3.444444444,2.833333333,1
58,0,16.08767123,2,1,1,4,2,3,4,5,3,4,4,4,1,5,5,4,3,3,2,3,3,4,4,2,2,4,2,3,5,5,3,5,5,5,4,1,4,1,4,2,5,2,5,2,5,1,5,5,3,4,2,2,4,2,1,4,4,3,3,2,4,5,4,4,2,5,2,1,2,5,5,5,4,4,4,5,4,4,4,5,4,1,4.181818182,4.111111111,3.833333333,1
59,0,16.12328767,2,3,1,5,1,3,4,5,2,4,5,3,1,5,3,3,3,5,1,5,4,5,4,1,3,3,2,3,3,4,3,4,5,4,3,4,3,1,3,4,4,3,3,2,5,2,4,4,3,4,3,1,3,1,1,3,3,4,4,2,4,3,3,3,2,5,3,2,2,2,4,4,3,5,5,5,4,4,3,4,4,4,3.909090909,3.555555556,4,1
60,0,16.1890411,2,5,3,4,1,5,3,4,4,3,4,5,2,5,4,5,5,5,2,4,5,1,5,2,3,5,5,1,5,2,5,2,5,5,3,5,5,3,5,3,5,4,5,2,4,1,3,5,5,3,1,1,2,2,2,5,5,5,5,2,5,2,5,3,3,5,5,1,1,1,4,5,5,5,4,4,4,3,1,5,5,5,3.818181818,5,3.5,1
61,0,16.1890411,2,5,2,4,2,4,3,4,3,4,4,4,3,4,4,3,4,3,2,2,4,2,4,3,3,4,5,3,4,2,4,3,3,5,5,4,5,4,5,3,4,5,3,4,5,3,4,5,4,5,3,2,2,4,2,4,4,3,4,2,4,4,5,3,2,4,4,1,1,2,4,3,3,4,2,4,4,4,2,5,5,4,3.818181818,4.333333333,3,1
62,0,16.23561644,2,2,1,4,2,2,3,5,2,3,2,3,1,5,4,4,2,5,3,2,2,4,4,4,2,2,4,4,3,3,4,5,5,4,3,0,4,1,2,2,2,5,5,4,4,2,4,5,1,2,2,1,2,1,2,4,5,1,4,1,5,0,5,2,3,3,0,1,1,2,1,4,4,5,5,4,5,3, ,5,5,4,3.1,4.666666667,3,1
63,0,16.25479452,2,2,3,4,2,3,4,4,3,2,3,3,4,4,5,4,4,3,2,4,2,5,5,2,2,2,4,3,4,2,3,5,4,4,1,4,4,3,4,4,3,4,4,4,2,4,4,4,3,4,2,2,4,2,2,4,4,4,4,2,4,4,4,4,2,4,2,2,2,2,4,2,4,4,4,4,4,4,4,4,4,4,3.727272727,4,4,1
64,0,16.25479452,2,2,3,5,1,2,4,5,3,2,2,3,3,4,4,4,4,3,2,3,3,5,5,2,3,2,4,3,4,3,2,5,4,3,1,4,4,3,4,4,3,4,3,4,1,2,4,4,2,4,2,2,4,2,2,4,4,4,4,2,4,3,4,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3.727272727,4,4,1
65,0,16.32876712,2,5,2,4,2,4,3,4,2,3,4,4,2,5,4,3,4,4,2,4,4,2,4,2,2,4,4,2,4,3,4,3,4,4,2,3,4,2,3,2,4,2,4,3,4,2,4,2,4,4,2,2,3,2,2,4,4,4,4,2,4,3,4,4,2,4,2,2,2,2,5,4,4,4,4,4,4,4,4,4,4,4,3.909090909,3.777777778,4,1
66,0,16.36438356,2,2,3,5,1,4,4,3,4,4,5,3,1,5,3,4,2,2,4,3,4,5,3,5,5,4,2,5,4,3,5,4,3,3,4,3,3,4,2,3,4,1,2,3,3,2,3,3,4,2,2,1,3,4,3,2,4,5,4,2,4,1,4,1,3,2,3,2,1,4,2,4,4,5,2,3,4,3,3,4,5,2,3.181818182,3.777777778,2.333333333,1
67,0,16.45479452,2,4,5,4,2,4,3,5,2,5,5,5,1,5,5,4,4,5,3,4,5,2,5,3,2,4,5,4,4,5,4,2,5,4,5,1,5,5,3,5,3,1,4,3,4,4,2,5,1,4,1,2,5,3,2,3,4,5,4,3,4,4,4,2,5,5,5,2,2,2,4,2,5,4,3,4,3,1,1,4,4,4,2.909090909,4.111111111,3.666666667,1
68,0,16.56986301,2,2,2,4,1,3,4,5,3,3,5,4,2,5,4,3,4,4,3,4,4,5,4,3,3,4,5,3,4,2,4,5,4,4,3,4,5,2,3,4,4,4,4,5,2,4,3,4,4,4,2,4,4,2,4,4,2,4,4,4,4,2,4,4,4,4,3,4,2,4,4,2,4,2,4,2,2,2,3,2,4,2,2.818181818,3.555555556,3.5,1
69,0,16.57260274,1,4,2,1,1,4,2,5,2,4,5,3,1,5,4,4,3,5,2,5,5,3,4,1,4,3,5,2,5,2,3,3,5,5,3,2,5,1,5,2,4,3,4,2,3,4,2,3,2,2,2,3,0,2,3,4,4,2,4,3,5,2,4,1,2,4,2,2,2,2,4,2,4,3,4,3,3,4,4,4,4,4,2.363636364,4,4,1
70,0,16.67945205,2,4,3,4,1,3,3,4,2,2,5,3,1,5,4,3,4,3,1,4,3,3,4,5,3,3,4,3,4,3,4,4,4,4,3,4,5,3,4,4,3,3,4,4,4,3,3,4,3,2,3,2,2,3,2,3,3,3,3,2,4,4,4,2,3,2,3,3,3,3,3,3,3,4,3,4,4,3,3,3,3,3,3.181818182,3.333333333,2.666666667,1
71,0,16.70684932,1,4,3,4,2,4,2,4,3,3,5,5,2,4,4,4,3,2,3,3,5,3,4,5,2,5,4,4,5,3,4,3,5,4,3,4,4,3,4,5,5,5,3,5,3,4,2,4,5,2,3,3,4,2,3,3,4,2,3,4,4,1,4,2,3,4,4,2,2,4,2,2,3,3,4,3,2,3,2,4,4,2,2.454545455,3.666666667,3,1
72,0,16.77808219,2,4,5,4,2,2,3,5,4,2,3,4,1,5,3,5,5,3,2,3,3,2,5,3,3,2,3,2,3,1,5,3,3,4,1,4,5,2,2,4,2,2,3,4,1,2,4,5,2,3,1,4,4,4,2,1,5,5,2,2,4,4,4,4,2,3,2,2,2,4,4,4,5,2,2,4,4,4,4,4,4,2,3.636363636,3.777777778,3.166666667,1
73,0,16.80547945,2,4,3,5,1,3,1,5,4,2,5,3,4,5,3,4,3,4,1,5,4,2,4,2,1,2,5,1,5,3,1,4,4,5,3,5,4,4,5,3,3,3,3,5,1,1,5,5,2,3,1,3,4,1,1,4,5,4,5,3,5,3,5,4,1,3,3,1,1,3,4,5,5,3,5,5,3,5,3,5,5,3,3.818181818,4.888888889,3.666666667,1
74,0,16.97534247,2,3,2,5,1,4,4,5,2,3,5,5,1,5,5,4,4,5,4,5,5,4,5,4,2,4,4,3,5,3,5,4,5,5,1,4,5,2,5,4,4,1,4,5,3,3,4,5,4,4,3,2,3,2,2,3,4,4,4,2,4,3,4,4,2,4,3,2,2,4,4,3,3,4,4,4,4,4,3,4,4,2,3.818181818,3.888888889,3.333333333,1
75,0,17,1,2,2,5,2,4,4,5,3,5,4,4,1,5,3,3,3,4,1,3,5,4,5,1,3,5,5,1,5,3,5,2,4,5,3,4,4,1,5,3,5,1,5,1,5,3,2,5,1,1,1,3,3,2,2,3,5,3,4,3,4,1,5,2,3,4,3,1,1,2,4,3,5,3,4,4,3,3,3,5,5,4,2.363636364,4.555555556,3.666666667,1
76,0,17.04657534,2,3,2,4,3,3,4,4,2,4,4,3,1,4,4,4,3,4,2,3,4,4,5,3,4,3,3,3,4,3,4,5,5,4,3,4,4,1,4,2,3,1,3,1,1,3,3,4,4,4,3,4,4,3,2,4,3,3,4,3,4,2,4,3,2,4,2,1,1,2,3,3,3,2,3,4,3,4,4,5,5,4,3.181818182,4,3.666666667,1
77,0,17.04657534,1,4,2,4,1,5,3,3,4,5,5,5,2,4,1,3,4,5,1,2,1,3,2,3,3,4,5,4,5,2,1,4,4,4,5,2,5,2,5,4,5,4,5,1,3,4,2,5,3,1,2,2,1,4,3,2,4,2,4,2,5,1,5,1,3,2,5,2,1,2,2,2,4,4,2,3,4,3,1,4,5,4,2.363636364,4.222222222,2,1
78,0,17.19452055,2,5,2,4,3,4,2,4,3,1,5,4,3,5,5,3,3,1,4,4,4,1,4,3,2,4,5,2,3,3,4,2,5,3,2,4,5,3,3,3,3,2,4,3,4,2,5,4,3,4,2,2,3,3,2,4,4,4,4,3,4,3,4,3,3,4,3,2,2,2,4,4,4,4,3,4,3,3,3,4,4,4,3.636363636,4,3.5,1
79,0,17.23561644,2,3,3,2,1,4,4,5,5,2,5,5,1,4,2,3,5,5,4,2,4,3,5,2,3,3,3,1,2,1,5,4,4,3,2,3,5,2,4,1,4,1,5,3,4,5,4,5,2,2,2,3,3,2,1,5,5,3,4,2,5,1,4,1,1,4,3,2,2,3,3,1,4,3,4,5,4,5,3,4,4,3,2.818181818,4.444444444,3.333333333,1
80,0,17.35616438,2,3,1,4,1,3,5,5,3,4,4,5,1,5,5,3,2,5,2,4,5,5,3,4,3,2,1,1,3,3,5,5,5,3,2,1,4,1,3,1,4,4,3,2,2,2,3,4,2,3,2,2,4,2,3,4,4,4,2,2,4,4,3,2,2,3,2,2,2,2,4,4,4,4,4,3,4,4,4,4,4,4,3.363636364,3.666666667,3.833333333,1
81,0,17.44383562,1,4,3,4,2,4,4,4,4,4,5,4,2,4,4,5,4,4,4,3,4,2,4,4,4,4,4,1,4,3,3,2,4,4,3,2,5,2,4,4,4,4,4,4,1,2,4,4,1,3,2,2,2,4,2,4,4,1,4,3,4,2,4,3,2,4,3,2,2,3,3,4,4,4,2,4,3,4,3,4,4,3,3,4,2.833333333,1
82,0,17.55890411,1,4,3,2,2,2,4,4,2,4,5,2,1,5,5,4,3,3,5,4,4,2,2,5,4,2,2,0,2,3,4,4,4,2,4,4,4,3,2,1,5,2,3,4,1,1,2,5,4,3,1,2,0,2,1,5,5,1,5,5,5,1,4,2,3,0,3,5,1,2,3,5,5,4,4,5,1,3,3,1,5,4,2.818181818,4.444444444,3.5,1
83,0,17.55890411,1,3,3,3,3,4,3,4,4,5,5,3,3,4,2,4,4,2,3,2,4,3,3,3,4,4,3,4,3,4,5,3,3,4,3,3,3,3,3,2,4,3,2,3,3,3,2,4,1,2,2,4,4,4,3,5,4,3,4,4,4,2,3,4,4,5,3,3,3,4,3,3,4,2,2,3,2,2,3,3,3,2,2.363636364,3.777777778,3.166666667,1
84,0,17.65479452,2,3,3,5,2,5,4,4,1,3,4,3,1,5,3,4,4,5,1,5,5,3,4,4,3,3,5,3,5,3,5,3,4,5,3,4,4,2,5,3,3,1,4,3,5,3,4,5,2,3,2,1,3,2,1,3,5,3,4,2,4,3,5,4,2,4,3,2,2,2,5,3,4,5,4,5,4,4,3,4,4,4,3.636363636,4.222222222,3.833333333,1
85,0,17.66027397,2,3,4,2,3,2,2,2,4,2,2,4,4,4,4,3,4,3,4,3,4,2,4,4,3,3,5,5,2,4,5,4,4,3,2,4,5,4,4,5,5,3,2,2,2,2,4,4,2,4,2,3,4,2,3,4,4,4,4,2,4,4,4,4,2,4,2,2,2,2,3,4,4,3,4,3,4,4,4,4,4,4,3.636363636,4,3.833333333,1
86,0,17.6630137,1,1,2,3,4,4,5,4,1,5,4,3,1,4,2,3,3,4,4,2,5,5,2,2,4,4,2,5,3,4,4,5,4,4,5,5,2,1,3,1,2,1,1,1,1,2,4,5,1,1,1,3,1,2,3,4,4,2,4,3,5,2,5,3,4,3,3,2,2,2,2,4,5,3,4,3,3,2,3,4,4,4,2.545454545,4.444444444,2.833333333,1
87,0,17.69589041,2,5,5,4,4,4,2,5,4,2,5,3,4,5,5,4,5,1,2,5,4,1,2,4,2,4,5,4,3,4,5,4,3,4,2,3,4,5,3,5,5,2,5,5,4,1,5,4,5,4,3,2,5,2,1,4,4,5,4,2,5,2,4,4,2,5,2,1,1,1,5,5,3,4,4,5,4,4,4,5,5,5,4.272727273,4.222222222,4.666666667,1
88,0,17.69589041,2,2,3,4,4,5,5,5,2,1,4,2,1,5,4,4,2,4,2,5,4,4,1,4,1,5,4,2,4,4,5,4,5,4,1,2,3,2,5,2,3,1,4,2,5,2,5,4,2,4,1,2,5,1,1,4,4,4,4,1,4,4,4,5,1,5,1,1,1,1,5,4,5,4,5,5,5,5,5,5,5,5,4.272727273,4.333333333,5,1
89,0,17.69863014,1,5,5,3,2,5,2,3,3,3,4,3,2,5,1,4,4,2,4,2,4,4,5,4,5,4,4,4,3,3,3,3,4,5,4,3,5,5,4,3,3,5,3,5,4,3,4,3,1,5,3,4,3,1,2,1,1,4,1,2,4,1,4,1,5,4,4,5,3,4,2,3,3,2,5,4,4,1,2,1,3,2,2.727272727,2.333333333,3,1
90,0,17.7260274,2,4,5,4,2,5,3,4,4,3,4,5,3,5,4,3,3,4,4,4,4,3,2,3,2,5,5,4,5,3,2,5,4,3,2,5,4,3,5,5,4,1,4,2,5,1,5,4,4,5,4,1,3,2,1,5,3,3,5,3,3,4,4,2,2,5,3,1,1,1,4,5,2,5,4,5,3,4,3,5,5,5,4.090909091,4,4,1
91,0,17.87671233,2,4,1,5,1,4,4,5,2,5,5,5,1,5,5,5,5,5,1,1,5,2,5,4,4,4,5,3,4,2,4,2,5,5,5,3,5,2,5,2,4,1,5,1,5,2,5,5,3,4,1,2,5,1,1,5,5,4,5,2,5,3,5,4,3,5,1,1,1,1,4,4,5,4,5,5,4,3,5,5,5,5,3.909090909,5,4.833333333,1
92,0,17.87671233,1,4,3,4,1,4,4,5,3,5,5,4,1,4,2,5,4,4,3,5,4,3,4,2,3,5,3,3,5,1,4,3,4,5,5,4,5,2,5,1,3,3,4,2,3,3,3,3,2,2,3,2,2,3,3,3,2,2,2,2,2,2,3,1,2,3,3,4,3,3,3,3,3,4,3,3,4,4,3,2,3,3,2.727272727,2.555555556,2.833333333,1
93,0,18.01917808,2,2,2,4,4,5,4,3,2,1,5,2,1,5,4,4,3,3,2,4,5,4,2,4,2,5,4,2,4,4,5,5,5,4,2,3,5,1,4,3,5,4,2,4,5,2,4,4,2,2,2,3,4,4,2,4,4,4,3,2,4,2,4,3,2,4,3,2,1,1,4,4,4,3,2,4,4,4,3,4,5,5,3.272727273,4,3.666666667,1
94,0,18.09315068,2,4,4,4,1,4,2,5,5,2,3,5,1,5,3,4,4,3,5,2,4,1,2,5,5,2,4,3,3,1,3,4,5,3,3,4,4,3,4,4,4,3,4,5,1,2,4,4,4,4,2,2,4,2,2,2,4,3,4,2,5,4,4,3,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3.818181818,3.888888889,4,1
95,0,18.31506849,1,3,3,5,1,4,5,4,1,4,5,3,1,5,2,4,2,4,2,3,4,3,4,2,4,3,3,1,4,1,5,3,4,4,4,4,4,1,4,2,5,1,4,1,5,2,4,5,4,3,1,2,3,2,1,4,4,2,5,2,5,3,5,2,3,4,3,1,1,2,3,4,5,4,4,5,4,3,3,5,5,4,3.454545455,4.777777778,3.5,1
96,0,18.46027397,1,3,2,5,1,3,4,4,2,4,5,4,3,5,2,4,3,5,1,2,5,4,3,3,2,3,4,1,5,1,4,2,4,4,4,2,4,3,3,1,3,2,4,5,3,3,2,5,2,2,1,1,4,3,3,2,3,4,3,4,3,3,3,2,3,3,2,4,2,4,0,3,5,5,3,3,2,3,4,2,4,2,2.818181818,3.333333333,3.2,1
97,0,18.60547945,2,3,2,4,3,4,5,4,2,4,4,3,2,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,3,3,3,3,3,4,3,3,4,2,3,3,4,2,2,2,3,4,2,2,4,4,2,4,2,4,3,4,2,3,4,2,2,2,2,3,3,4,3,4,4,4,3,4,4,4,4,2.818181818,4,3.833333333,1
98,0,18.93150685,2,3,1,5,1,4,4,5,2,4,4,4,1,5,3,3,3,4,4,5,3,4,4,5,3,3,5,2,5,3,4,4,4,4,4,5,5,2,5,5,4,2,4,4,3,2,1,4,5,3,3,3,4,3,3,5,4,5,3,3,4,4,5,4,3,4,2,2,2,3,4,4,3,3,3,3,3,3,4,4,4,3,3.454545455,4,3.666666667,1
99,1,20.07671233,2,3,4,5,4,3,5,5,2,3,5,3,2,5,5,3,3,5,2,4,4,3,4,4,2,2,4,4,4,4,4,4,5,4,3,5,3,2,3,3,5,2,3,3,4,2,4,5,4,4,3,2,5,2,1,4,3,4,3,2,4,4,4,3,2,4,2,2,2,2,4,4,3,4,4,5,4,4,4,4,4,4,4,3.777777778,4.166666667,1