isOut,AGE,gender,BFI1,BFI2,BFI3,BFI4,BFI5,BFI6,BFI7,BFI8,BFI9,BFI10,BFI11,BFI12,BFI13,BFI14,BFI15,BFI16,BFI17,BFI18,BFI19,BFI20,BFI21,BFI22,BFI23,BFI24,BFI25,BFI26,BFI27,BFI28,BFI29,BFI30,BFI31,BFI32,BFI33,BFI34,BFI35,BFI36,BFI37,BFI38,BFI39,BFI40,BFI41,BFI42,BFI43,BFI44,EMPQ_emotional,EMPQ_cognitive
1,9.367123288,2,4,2,3,3,4,3,4,4,3,5,5,2,4,4,4,3,3,4,4,5,2,4,3,3,3,3,2,3,3,3,3,4,2,2,2,4,1,2,3,4,3,4,5,3,3.272727273,3.444444444
1,10.9260274,2,3,3,4,2,3,4,4,3,4,3,3,1,4,4,3,3,4,2,3,3,4,4,3,3,2,4,3,3,2,4,4,4,3,4,4,4,1,4,2,3,3,3,2,2,3,2.888888889
0,12.71506849,2,4,2,4,1,4,3,4,3,4,5,4,2,4,4,4,3,4,1,5,5,4,5,2,4,4,3,1,3,1,4,5,4,4,3,4,5,2,4,4,3,3,4,3,3,4.363636364,4
0,12.93972603,1,4,2,3,1,3,2,4,4,3,5,4,3,5,4,3,4,3,4,3,4,4,4,5,3,3,4,3,2,3,5,5,4,3,2,3,3,4,2,4,4,5,4,3,4,3.090909091,4
0,13.03013699,1,4,2,3,2,5,3,4,2,2,5,3,2,5,4,5,3,3,2,4,5,3,4,3,3,5,3,3,3,2,4,4,4,4,2,3,4,1,4,2,4,2,4,3,5,3.454545455,4
0,13.26027397,1,3,2,5,2,5,3,5,2,3,5,5,3,5,5,5,5,3,1,5,5,3,2,2,2,4,5,3,5,4,4,5,5,5,2,4,5,4,5,5,5,4,4,4,3,4.181818182,4.555555556
0,13.33150685,5,5,1,4,1,5,4,5,1,3,4,5,1,5,4,4,5,4,2,4,4,2,5,3,3,4,4,2,4,2,4,4,4,4,3,4,5,2,3,4,3,4,4,3,3,3.454545455,3.444444444
0,13.3890411,2,3,2,5,3,5,4,5,2,4,4,4,2,5,4,3,4,4,2,4,5,3,4,2,3,5,4,4,5,3,5,4,4,4,3,4,3,3,4,2,4,2,4,3,4,3.545454545,3.666666667
0,13.43561644,1,5,3,4,1,5,4,4,3,3,4,5,2,5,4,3,5,3,2,3,5,1,4,3,4,3,3,1,5,1,3,2,3,3,1,4,5,1,4,5,5,3,4,5,2,2.818181818,3.444444444
0,13.5,1,3,3,4,1,4,4,5,2,3,4,4,1,5,4,4,3,5,2,4,3,2,4,2,3,4,3,2,4,3,3,3,4,4,3,4,5,2,4,2,4,3,5,3,3,3.909090909,3.888888889
0,13.56986301,2,2,1,5,1,4,4,5,2,4,4,5,1,5,3,5,3,4,2,3,2,4,5,1,4,5,4,1,5,1,4,4,4,5,3,4,5,2,3,4,2,2,4,1,3,2.818181818,3.777777778
0,13.59178082,1,4,3,4,1,4,4,5,2,4,5,3,1,5,3,4,4,4,2,3,2,2,4,2,5,4,5,2,5,2,4,1,5,4,5,3,4,3,4,2,4,2,3,1,3,3.272727273,4.222222222
0,13.67123288,1,4,4,4,1,5,1,5,4,1,4,5,1,4,5,4,2,4,2,5,5,2,5,1,2,4,5,2,4,2,2,4,5,4,1,5,5,2,4,2,4,4,5,4,2,3.636363636,3.777777778
0,13.67123288,2,5,2,5,1,4,4,4,4,5,5,4,4,5,2,5,4,3,5,2,4,1,3,4,5,5,5,3,5,1,4,3,3,5,5,1,4,4,5,4,4,4,5,3,4,2.636363636,4.777777778
0,13.76438356,2,5,4,3,1,4,2,3,2,2,4,3,4,5,5,4,3,3,5,5,3,1,4,4,3,4,5,3,4,4,4,2,3,4,4,4,5,5,3,5,4,4,3,4,3,2.727272727,3.111111111
0,13.8,1,3,1,2,1,3,2,5,3,4,4,5,1,4,4,4,4,3,1,2,3,2,2,1,4,2,4,1,1,1,4,2,5,4,4,3,5,1,1,1,3,4,4,2,4,2.727272727,4.444444444
0,13.84931507,1,4,2,4,3,5,4,5,1,3,5,4,1,4,4,4,4,5,2,5,5,3,4,2,3,4,4,3,5,4,4,5,5,4,4,5,2,3,4,4,4,4,5,2,3,3.909090909,4.444444444
0,13.92328767,2,3,3,3,3,4,3,4,4,2,4,2,2,3,4,4,3,4,4,4,4,3,4,5,2,3,2,4,4,4,5,5,4,2,1,4,3,3,3,4,4,3,3,5,3,3.454545455,3.75
0,13.95068493,2,3,3,3,3,2,2,3,3,3,2,2,3,3,2,2,4,4,4,4,3,3,3,3,4,3,3,3,2,2,2,2,4,3,4,3,4,3,2,3,4,3,3,3,3,3.272727273,3.222222222
0,13.96986301,1,2,3,3,3,4,4,3,2,3,5,5,2,5,4,5,5,2,4,3,4,4,4,3,4,4,5,5,3,4,3,2,3,4,2,2,4,4,4,4,4,3,3,2,2,2.909090909,3.333333333
0,14.01643836,2,5,1,5,1,5,3,5,1,4,5,5,4,5,4,5,5,5,5,5,5,4,5,1,1,5,5,2,5,4,4,5,5,5,4,3,5,3,5,5,4,5,4,4,5,4.272727273,5
0,14.02739726,1,5,4,4,4,5,3,2,2,3,4,3,2,3,4,5,2,2,2,5,5,4,3,3,1,4,2,4,4,5,4,5,2,5,2,4,2,3,4,3,5,4,2,3,2,3,3.222222222
0,14.03561644,2,4,2,3,1,4,3,4,3,4,4,4,1,4,3,4,2,5,2,2,4,3,4,3,4,4,3,1,3,2,4,4,4,4,4,4,4,1,4,2,4,3,3,2,2,4.090909091,4.444444444
0,14.09315068,1,5,5,5,3,4,5,5,4,3,5,4,1,4,5,4,5,3,3,5,5,2,3,4,2,4,4,1,4,3,4,1,4,4,2,2,4,1,4,1,4,5,4,5,5,3.090909091,3.333333333
0,14.09863014,2,4,2,3,1,3,1,3,5,1,3,3,1,5,1,3,3,4,5,3,3,1,5,5,3,2,5,3,1,1,5,1,5,4,1,5,5,4,2,5,1,3,3,5,2,3.636363636,4.888888889
0,14.17534247,2,5,3,2,4,3,2,5,5,1,5,5,2,5,5,2,5,5,4,4,5,1,3,5,2,2,4,4,2,4,2,4,5,3,2,3,5,5,3,5,2,2,5,5,5,3.818181818,4.222222222
0,14.2109589,1,4,3,3,1,5,4,5,3,4,5,5,1,5,4,5,5,4,3,4,5,2,5,1,4,5,5,1,5,3,4,3,5,5,3,4,5,3,5,3,4,3,5,4,3,3.090909091,3.625
0,14.21369863,1,5,1,3,1,5,2,5,4,2,5,5,2,4,4,3,3,5,5,3,5,1,5,4,1,5,3,1,2,1,3,3,4,3,1,2,5,3,3,4,5,3,4,5,4,4.090909091,4
0,14.22465753,1,4,2,4,1,4,3,5,3,3,5,5,2,5,1,4,4,5,4,2,5,2,4,4,4,5,5,1,4,2,4,3,4,4,3,4,5,2,4,4,5,5,5,4,4,2.818181818,3.888888889
0,14.22465753,2,3,2,4,2,4,2,3,2,3,5,4,2,4,4,4,4,3,2,3,5,3,3,2,3,5,3,3,4,3,4,4,4,4,3,4,4,1,4,4,4,2,4,2,4,2.545454545,3.888888889
0,14.25205479,2,4,2,3,1,4,3,5,3,4,4,5,1,4,2,4,3,3,2,3,4,3,4,3,2,2,4,4,3,3,4,2,4,4,5,4,5,2,3,3,4,1,3,2,4,3.090909091,4.222222222
0,14.54520548,2,5,2,5,4,5,3,4,4,4,5,5,1,4,5,4,4,4,1,4,5,2,1,2,2,5,4,2,4,4,4,2,4,4,4,4,5,2,4,4,5,2,3,5,5,4.272727273,4.222222222
0,14.55068493,2,4,3,4,3,5,5,4,4,5,4,3,1,5,4,4,4,3,2,5,5,4,4,3,3,3,5,5,4,4,4,5,4,3,4,1,4,4,4,4,4,2,2,5,5,4.090909091,4.222222222
0,14.69041096,1,4,3,5,2,4,3,4,4,4,4,3,2,4,3,4,4,3,4,4,4,4,4,4,4,4,4,2,4,2,3,4,4,4,4,4,5,2,4,2,3,3,4,2,3,3.181818182,3.333333333
0,14.78630137,1,3,3,4,2,3,5,4,4,4,3,4,1,4,5,4,4,5,2,4,4,4,4,3,4,2,4,1,3,3,4,4,4,3,4,4,4,2,4,1,3,4,4,5,2,3.818181818,4.666666667
0,14.88219178,2,3,4,3,3,4,2,4,2,3,3,2,3,2,3,2,3,2,4,2,4,3,3,4,4,2,4,2,3,4,2,4,3,4,3,4,3,4,2,3,2,4,3,2,4,3.090909091,2.888888889
0,14.95342466,1,3,3,4,1,5,2,4,3,4,5,3,3,5,1,5,4,5,2,2,5,3,4,2,5,5,4,2,4,2,3,3,3,5,5,1,4,3,5,4,5,5,4,2,1,1.636363636,3.444444444
0,14.96986301,2,4,4,3,2,3,2,1,1,2,5,3,3,4,5,3,3,1,2,5,4,2,4,3,2,2,4,4,3,4,5,3,3,3,2,2,4,2,3,4,4,2,3,2,3,3.909090909,4.222222222
0,14.9890411,1,3,3,3,3,3,3,4,4,3,3,3,2,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0,15.03287671,1,1,2,3,2,4,4,4,4,4,5,3,2,4,3,5,3,4,4,3,4,4,4,4,4,4,3,4,5,3,1,4,4,4,5,4,4,3,3,3,4,5,4,2,1,2.818181818,3.222222222
0,15.43287671,1,3,4,4,2,3,5,5,2,4,5,3,1,5,5,3,1,5,5,5,4,5,5,3,2,3,3,4,3,5,4,5,5,4,4,3,4,3,2,1,5,1,4,2,4,4.909090909,4.777777778
0,15.43287671,1,4,2,4,1,4,3,5,1,3,4,5,1,5,2,3,4,3,4,3,4,2,4,3,4,4,3,1,3,2,1,2,3,4,4,4,4,2,3,3,4,4,4,4,1,2.363636364,3.111111111
0,15.4630137,2,3,2,4,1,4,4,4,2,2,4,4,2,4,5,4,4,4,1,5,3,5,4,4,4,4,3,3,4,3,4,5,4,4,3,4,4,3,4,3,3,4,4,3,4,3.909090909,3.888888889
0,15.50136986,2,4,3,3,1,5,3,4,4,3,4,4,3,4,3,3,4,4,4,3,5,2,4,2,1,4,2,2,3,2,4,4,5,3,4,2,4,4,3,3,5,2,4,4,4,4.272727273,4
0,15.50136986,2,4,4,3,2,3,3,4,4,3,3,3,2,3,3,3,3,4,3,2,3,3,4,4,4,3,3,3,3,4,4,4,4,3,3,3,4,2,3,3,4,3,3,4,3,3.727272727,3.888888889
0,15.54246575,2,4,4,4,2,4,3,3,2,5,5,5,3,5,4,5,3,2,2,2,3,3,1,3,4,3,5,5,4,3,4,3,3,4,5,5,3,4,4,5,4,2,3,3,3,2.090909091,3.444444444
0,15.5890411,1,4,4,5,3,4,4,5,3,5,5,2,4,5,5,4,2,2,5,5,4,5,5,4,4,4,4,5,5,4,3,4,4,5,5,5,4,4,3,5,3,4,4,5,3,2.909090909,3.666666667
0,15.67671233,2,4,1,5,2,4,3,5,2,4,4,5,1,5,4,5,4,5,1,5,5,3,4,3,2,3,4,4,5,3,5,4,5,4,3,4,5,2,5,3,4,3,5,2,3,4,4.222222222
0,15.78630137,2,4,3,3,3,1,3,5,4,4,4,5,5,5,5,4,5,3,2,5,4,5,5,5,2,4,5,4,2,4,5,5,5,3,4,4,5,2,3,5,4,4,5,5,5,3.909090909,4.444444444
0,15.80273973,2,2,2,3,1,5,4,4,2,3,3,2,1,4,4,5,5,4,4,3,3,3,4,4,4,4,4,4,3,2,5,3,4,4,4,2,4,1,3,2,4,1,4,4,4,3.818181818,3.777777778
0,15.85753425,1,4,3,4,1,4,3,4,3,3,4,4,1,5,1,4,3,4,3,3,4,1,3,3,3,3,4,1,4,1,3,1,4,4,4,3,4,4,5,3,3,4,3,1,1,1.727272727,4.111111111
0,15.89315068,1,3,1,5,1,5,5,5,1,4,5,5,1,5,3,5,5,5,1,3,5,3,5,1,3,5,5,1,5,1,5,3,5,5,3,3,5,1,5,1,4,1,5,1,5,3.363636364,4.222222222
0,15.92054795,1,3,4,2,1,4,3,3,4,2,4,3,4,4,3,4,3,2,4,3,5,3,4,4,3,4,4,3,2,4,4,2,4,4,3,4,4,3,3,4,4,3,4,4,5,3,3.777777778
0,15.97260274,2,5,3,4,1,4,3,4,3,4,4,4,2,4,3,5,5,4,2,3,4,2,4,4,3,3,4,4,4,3,4,3,4,4,3,5,5,2,5,3,4,4,5,4,5,3.363636364,3.777777778
0,16.0109589,2,2,3,4,3,4,3,5,2,4,4,5,1,5,5,3,4,5,4,3,3,4,5,4,1,3,4,1,4,4,5,4,5,4,3,3,5,1,3,1,3,1,5,2,5,4.181818182,4.666666667
0,16.02739726,1,4,3,4,1,4,4,4,2,4,3,5,2,1,2,4,4,3,2,4,4,3,4,2,3,4,3,2,3,3,3,5,4,4,2,3,5,5,3,1,3,3,4,4,4,2.909090909,3.111111111
0,16.04109589,1,4,4,5,4,3,3,3,4,3,5,3,2,4,3,3,3,4,5,4,4,3,3,4,3,3,3,4,4,4,4,3,3,4,3,4,3,4,3,4,5,1,2,3,5,2.909090909,3.444444444
0,16.08767123,2,1,1,4,2,3,4,5,3,4,4,4,1,5,5,4,3,3,2,3,3,4,4,2,2,4,2,3,5,5,3,5,5,5,4,1,4,1,4,2,5,2,5,2,5,4.181818182,4.111111111
0,16.12328767,2,3,1,5,1,3,4,5,2,4,5,3,1,5,3,3,3,5,1,5,4,5,4,1,3,3,2,3,3,4,3,4,5,4,3,4,3,1,3,4,4,3,3,2,5,3.909090909,3.555555556
0,16.1890411,2,5,3,4,1,5,3,4,4,3,4,5,2,5,4,5,5,5,2,4,5,1,5,2,3,5,5,1,5,2,5,2,5,5,3,5,5,3,5,3,5,4,5,2,4,3.818181818,5
0,16.1890411,2,5,2,4,2,4,3,4,3,4,4,4,3,4,4,3,4,3,2,2,4,2,4,3,3,4,5,3,4,2,4,3,3,5,5,4,5,4,5,3,4,5,3,4,5,3.818181818,4.333333333
0,16.23561644,2,2,1,4,2,2,3,5,2,3,2,3,1,5,4,4,2,5,3,2,2,4,4,4,2,2,4,4,3,3,4,5,5,4,3,0,4,1,2,2,2,5,5,4,4,3.1,4.666666667
0,16.25479452,2,2,3,4,2,3,4,4,3,2,3,3,4,4,5,4,4,3,2,4,2,5,5,2,2,2,4,3,4,2,3,5,4,4,1,4,4,3,4,4,3,4,4,4,2,3.727272727,4
0,16.25479452,2,2,3,5,1,2,4,5,3,2,2,3,3,4,4,4,4,3,2,3,3,5,5,2,3,2,4,3,4,3,2,5,4,3,1,4,4,3,4,4,3,4,3,4,1,3.727272727,4
0,16.32876712,2,5,2,4,2,4,3,4,2,3,4,4,2,5,4,3,4,4,2,4,4,2,4,2,2,4,4,2,4,3,4,3,4,4,2,3,4,2,3,2,4,2,4,3,4,3.909090909,3.777777778
0,16.36438356,2,2,3,5,1,4,4,3,4,4,5,3,1,5,3,4,2,2,4,3,4,5,3,5,5,4,2,5,4,3,5,4,3,3,4,3,3,4,2,3,4,1,2,3,3,3.181818182,3.777777778
0,16.45479452,2,4,5,4,2,4,3,5,2,5,5,5,1,5,5,4,4,5,3,4,5,2,5,3,2,4,5,4,4,5,4,2,5,4,5,1,5,5,3,5,3,1,4,3,4,2.909090909,4.111111111
0,16.56986301,2,2,2,4,1,3,4,5,3,3,5,4,2,5,4,3,4,4,3,4,4,5,4,3,3,4,5,3,4,2,4,5,4,4,3,4,5,2,3,4,4,4,4,5,2,2.818181818,3.555555556
0,16.57260274,1,4,2,1,1,4,2,5,2,4,5,3,1,5,4,4,3,5,2,5,5,3,4,1,4,3,5,2,5,2,3,3,5,5,3,2,5,1,5,2,4,3,4,2,3,2.363636364,4
0,16.67945205,2,4,3,4,1,3,3,4,2,2,5,3,1,5,4,3,4,3,1,4,3,3,4,5,3,3,4,3,4,3,4,4,4,4,3,4,5,3,4,4,3,3,4,4,4,3.181818182,3.333333333
0,16.70684932,1,4,3,4,2,4,2,4,3,3,5,5,2,4,4,4,3,2,3,3,5,3,4,5,2,5,4,4,5,3,4,3,5,4,3,4,4,3,4,5,5,5,3,5,3,2.454545455,3.666666667
0,16.77808219,2,4,5,4,2,2,3,5,4,2,3,4,1,5,3,5,5,3,2,3,3,2,5,3,3,2,3,2,3,1,5,3,3,4,1,4,5,2,2,4,2,2,3,4,1,3.636363636,3.777777778
0,16.80547945,2,4,3,5,1,3,1,5,4,2,5,3,4,5,3,4,3,4,1,5,4,2,4,2,1,2,5,1,5,3,1,4,4,5,3,5,4,4,5,3,3,3,3,5,1,3.818181818,4.888888889
0,16.97534247,2,3,2,5,1,4,4,5,2,3,5,5,1,5,5,4,4,5,4,5,5,4,5,4,2,4,4,3,5,3,5,4,5,5,1,4,5,2,5,4,4,1,4,5,3,3.818181818,3.888888889
0,17,1,2,2,5,2,4,4,5,3,5,4,4,1,5,3,3,3,4,1,3,5,4,5,1,3,5,5,1,5,3,5,2,4,5,3,4,4,1,5,3,5,1,5,1,5,2.363636364,4.555555556
0,17.04657534,2,3,2,4,3,3,4,4,2,4,4,3,1,4,4,4,3,4,2,3,4,4,5,3,4,3,3,3,4,3,4,5,5,4,3,4,4,1,4,2,3,1,3,1,1,3.181818182,4
0,17.04657534,1,4,2,4,1,5,3,3,4,5,5,5,2,4,1,3,4,5,1,2,1,3,2,3,3,4,5,4,5,2,1,4,4,4,5,2,5,2,5,4,5,4,5,1,3,2.363636364,4.222222222
0,17.19452055,2,5,2,4,3,4,2,4,3,1,5,4,3,5,5,3,3,1,4,4,4,1,4,3,2,4,5,2,3,3,4,2,5,3,2,4,5,3,3,3,3,2,4,3,4,3.636363636,4
0,17.23561644,2,3,3,2,1,4,4,5,5,2,5,5,1,4,2,3,5,5,4,2,4,3,5,2,3,3,3,1,2,1,5,4,4,3,2,3,5,2,4,1,4,1,5,3,4,2.818181818,4.444444444
0,17.35616438,2,3,1,4,1,3,5,5,3,4,4,5,1,5,5,3,2,5,2,4,5,5,3,4,3,2,1,1,3,3,5,5,5,3,2,1,4,1,3,1,4,4,3,2,2,3.363636364,3.666666667
0,17.44383562,1,4,3,4,2,4,4,4,4,4,5,4,2,4,4,5,4,4,4,3,4,2,4,4,4,4,4,1,4,3,3,2,4,4,3,2,5,2,4,4,4,4,4,4,1,3,4
0,17.55890411,1,4,3,2,2,2,4,4,2,4,5,2,1,5,5,4,3,3,5,4,4,2,2,5,4,2,2,0,2,3,4,4,4,2,4,4,4,3,2,1,5,2,3,4,1,2.818181818,4.444444444
0,17.55890411,1,3,3,3,3,4,3,4,4,5,5,3,3,4,2,4,4,2,3,2,4,3,3,3,4,4,3,4,3,4,5,3,3,4,3,3,3,3,3,2,4,3,2,3,3,2.363636364,3.777777778
0,17.65479452,2,3,3,5,2,5,4,4,1,3,4,3,1,5,3,4,4,5,1,5,5,3,4,4,3,3,5,3,5,3,5,3,4,5,3,4,4,2,5,3,3,1,4,3,5,3.636363636,4.222222222
0,17.66027397,2,3,4,2,3,2,2,2,4,2,2,4,4,4,4,3,4,3,4,3,4,2,4,4,3,3,5,5,2,4,5,4,4,3,2,4,5,4,4,5,5,3,2,2,2,3.636363636,4
0,17.6630137,1,1,2,3,4,4,5,4,1,5,4,3,1,4,2,3,3,4,4,2,5,5,2,2,4,4,2,5,3,4,4,5,4,4,5,5,2,1,3,1,2,1,1,1,1,2.545454545,4.444444444
0,17.69589041,2,5,5,4,4,4,2,5,4,2,5,3,4,5,5,4,5,1,2,5,4,1,2,4,2,4,5,4,3,4,5,4,3,4,2,3,4,5,3,5,5,2,5,5,4,4.272727273,4.222222222
0,17.69589041,2,2,3,4,4,5,5,5,2,1,4,2,1,5,4,4,2,4,2,5,4,4,1,4,1,5,4,2,4,4,5,4,5,4,1,2,3,2,5,2,3,1,4,2,5,4.272727273,4.333333333
0,17.69863014,1,5,5,3,2,5,2,3,3,3,4,3,2,5,1,4,4,2,4,2,4,4,5,4,5,4,4,4,3,3,3,3,4,5,4,3,5,5,4,3,3,5,3,5,4,2.727272727,2.333333333
0,17.7260274,2,4,5,4,2,5,3,4,4,3,4,5,3,5,4,3,3,4,4,4,4,3,2,3,2,5,5,4,5,3,2,5,4,3,2,5,4,3,5,5,4,1,4,2,5,4.090909091,4
0,17.87671233,2,4,1,5,1,4,4,5,2,5,5,5,1,5,5,5,5,5,1,1,5,2,5,4,4,4,5,3,4,2,4,2,5,5,5,3,5,2,5,2,4,1,5,1,5,3.909090909,5
0,17.87671233,1,4,3,4,1,4,4,5,3,5,5,4,1,4,2,5,4,4,3,5,4,3,4,2,3,5,3,3,5,1,4,3,4,5,5,4,5,2,5,1,3,3,4,2,3,2.727272727,2.555555556
0,18.01917808,2,2,2,4,4,5,4,3,2,1,5,2,1,5,4,4,3,3,2,4,5,4,2,4,2,5,4,2,4,4,5,5,5,4,2,3,5,1,4,3,5,4,2,4,5,3.272727273,4
0,18.09315068,2,4,4,4,1,4,2,5,5,2,3,5,1,5,3,4,4,3,5,2,4,1,2,5,5,2,4,3,3,1,3,4,5,3,3,4,4,3,4,4,4,3,4,5,1,3.818181818,3.888888889
0,18.31506849,1,3,3,5,1,4,5,4,1,4,5,3,1,5,2,4,2,4,2,3,4,3,4,2,4,3,3,1,4,1,5,3,4,4,4,4,4,1,4,2,5,1,4,1,5,3.454545455,4.777777778
0,18.46027397,1,3,2,5,1,3,4,4,2,4,5,4,3,5,2,4,3,5,1,2,5,4,3,3,2,3,4,1,5,1,4,2,4,4,4,2,4,3,3,1,3,2,4,5,3,2.818181818,3.333333333
0,18.60547945,2,3,2,4,3,4,5,4,2,4,4,3,2,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,3,3,3,3,3,4,3,3,4,2,2.818181818,4
0,18.93150685,2,3,1,5,1,4,4,5,2,4,4,4,1,5,3,3,3,4,4,5,3,4,4,5,3,3,5,2,5,3,4,4,4,4,4,5,5,2,5,5,4,2,4,4,3,3.454545455,4
1,20.07671233,2,3,4,5,4,3,5,5,2,3,5,3,2,5,5,3,3,5,2,4,4,3,4,4,2,2,4,4,4,4,4,4,5,4,3,5,3,2,3,3,5,2,3,3,4,4,3.777777778